model,alpha,alpha_label,n,exceedances,exceed_rate,expected,avg_qloss,kupiec_p,christoffersen_p,dq_p,decision
EVT-POT,0.01,99%,3373,43,0.012748295286095465,33.730000000000004,0.051774190432904314,0.1238749869857001,0.01876271408425445,4.0445424787094453e-13,Underestimates risk
EVT-POT,0.05,95%,3373,167,0.04951082122739401,168.65,0.159386196552382,0.8961252942763206,6.834321997217785e-11,0,Too conservative or clustered
EWMA-normal,0.01,99%,3581,93,0.025970399329796147,35.81,0.05302227180202658,1.2212453270876722e-15,1.176836406102666e-14,0.14360911138853727,Underestimates risk
EWMA-normal,0.05,95%,3581,218,0.06087685004188774,179.05,0.14665580606953282,0.0038240551091489605,1.0389738696048312e-5,2.6237362349190718e-5,Underestimates risk
Historical simulation,0.01,99%,3581,44,0.012287070650656241,35.81,0.05202792146095009,0.18417232451236543,0.1239065456075682,1.5283330156989905e-12,Pass
Historical simulation,0.05,95%,3581,175,0.048869030996928235,179.05,0.15844687022787218,0.7553053328166959,1.9185786293007823e-10,0,Too conservative or clustered
Normal rolling,0.01,99%,3581,98,0.02736665735827981,35.81,0.060079914146764744,0,0,1.1102230246251565e-16,Underestimates risk
Normal rolling,0.05,95%,3581,179,0.04998603741971516,179.05,0.157134841275216,0.996941002054614,3.3015570277683537e-9,0,Too conservative or clustered
Student-t rolling,0.01,99%,3581,79,0.022060876850041888,35.81,0.05602377589981295,3.9022107767294756e-10,8.373302051722931e-13,8.659739592076221e-15,Underestimates risk
Student-t rolling,0.05,95%,3581,194,0.054174811505166155,179.05,0.15747269427365665,0.25776834749647837,7.723854889007953e-11,0,Underestimates risk
