model,alpha,alpha_label,exceedances,mean_loss_when_exceed,mean_var_when_exceed,mean_excess_loss,tail_loss_ratio,mean_es_when_available
EVT-POT,0.01,99%,43,4.557625160635349,3.2813365235028895,1.2762886371324602,1.427734063197565,4.519234463264954
EVT-POT,0.05,95%,167,3.090763446629591,1.8550475793579677,1.2357158672716237,1.717056471263841,2.937311348879345
EWMA-normal,0.01,99%,93,3.418306319518103,2.352850210231593,1.0654561092865096,1.4973289666981786,2.7012786874118917
EWMA-normal,0.05,95%,218,2.6170695269833937,1.6840868785766785,0.9329826484067151,1.5932030542776587,2.1224552219009323
Historical simulation,0.01,99%,44,4.494135600798277,3.2719519798566634,1.2221836209416133,1.4014804990179153,4.3074770413489345
Historical simulation,0.05,95%,175,3.064171141910649,1.8268411335546844,1.2373300083559646,1.73004791801349,2.9433949750924047
Normal rolling,0.01,99%,98,3.7767198303931657,2.5672461913684166,1.2094736390247494,1.497544522238223,2.947125534122441
Normal rolling,0.05,95%,179,3.0605883432992305,1.8298818260831866,1.230706517216044,1.7017193778057602,2.3054407186703747
Student-t rolling,0.01,99%,79,4.036449004157722,2.8388731863938164,1.1975758177639064,1.4487101967182103,3.6787460217201224
Student-t rolling,0.05,95%,194,2.962848823941813,1.7595710442337875,1.2032777797080259,1.7153310127661678,2.47500623879659
